,locator_address,coord
215,"120 e. mission ave, spokane, washington 99202 Spokane WA 99202","(47.671567581397255, -117.40905749517408)"
216,"2315 e. john st., seattle, wa 98112 Seattle WA 98112","(47.6200419, -122.301849)"
217,"none, renton, wa 98057 Renton WA 98057","(47.4799078, -122.2034496)"
218,"delivery only, seattle, wa 98102 Seattle WA 98102","(47.63393284983062, -122.32210721095473)"
219,"none, seattle, wa 98101 Seattle WA 98101","(47.6038321, -122.3300624)"
220,"none, west seattle, wa 98116 West seattle WA 98116","(47.5709315, -122.3865166)"
221,"20985 old hwy 99 sw, centralia, wa 98531 Centralia WA 98531","(46.77283187364462, -122.99069734861841)"
222,"1781 old highway 99 north,, burlington, wa 98233 Burlington WA 98233","(48.47539749028095, -122.34725801907379)"
223,"4978 mile hill drive, port orchard, wa 98366 Port orchard WA 98366","(47.5340109, -122.6143618)"
224,"2839 nw kitsap place #a, silverdale, wa 98383 Silverdale WA 98383","(47.6564587755102, -122.68712628571429)"
225,"10625 suite b pacific ave s., tacoma, wa 98444 Tacoma WA 98444","(47.5078983, -122.35943953533773)"
226,"3908 6th ave ste b, tacoma, washington 98406 Tacoma WA 98406","(47.25521306122449, -122.4892597755102)"
227,"6532 pacific ave, tacoma, wa 98408 Tacoma WA 98408","(47.1975665959596, -122.43407996969697)"
228,"115 176th st, spanaway, wa 98387 Spanaway WA 98387","(47.097404562249, -122.43794512048193)"
229,"420 evergreen drive, north bonneville, wa 98639 North bonneville WA 98639","(45.64184435377156, -121.98262381975049)"
230,"1xx1 walnut street, everett, wa 98201 Everett WA 98201","(47.99189412884291, -122.20110547888821)"
231,"74 s. lucile st., south seattle, wa 98134 South seattle WA 98134","(47.57885680820459, -122.33296848136655)"
232,"deliveries only, vancouver, washington 98642 Vancouver WA 98642","(45.79398128456954, -122.70244563122787)"
233,"delivery only, portland, wa 98662 Portland WA 98662","(45.6656040250539, -122.57687915382277)"
234,"28114 n newport hwy unit a, chattaroy, washington 99003 Chattaroy WA 99003","(47.91319265, -117.34960035)"
235,"316 capitol way n, olympia, wa 98501 Olympia WA 98501","(47.046821816326535, -122.90183267346939)"
236,"none, north tacoma, wa 98409 North tacoma WA 98409","(47.210210212797605, -122.47578694141298)"
237,"none, south tacoma, wa 98409 South tacoma WA 98409","(47.203897049999995, -122.48558817729989)"
238,"824 s 28th street, tacoma, wa 98409 Tacoma WA 98409","(47.23518535225989, -122.44366703677845)"
239,"15011 meridian ave e. suite c, puyallup, washington 98375 Puyallup WA 98375","(47.2544095, -122.29382)"
240,"16510 state route 9 se, snohomish, wa 98296 Snohomish WA 98296","(48.236941, -122.157494)"
241,"5260 university way ne, seattle, wa 98105 Seattle WA 98105","(47.668221, -122.3128245)"
242,"4051 tacoma mall blvd, tacoma, wa 98409 Tacoma WA 98409","(47.22102509835564, -122.4667953549521)"
243,"deliveries only, sequim, wa 98382 Sequim WA 98382","(48.07987274184706, -123.10156578180343)"
244,"3401 n. division st. spokane, spokane, wa 99207 Spokane WA 99207","(47.68939336734694, -117.410957)"
245,"21110 meridian e #a, graham, wa 98338 Graham WA 98338","(47.05654794139772, -122.29125304659459)"
246,"1119 south m st, tacoma, washington 98405 Tacoma WA 98405","(47.251445000000004, -122.45440267346939)"
247,"2607 s tacoma way, tacoma, washington 98409 Tacoma WA 98409","(47.23039285714286, -122.47127928571427)"
248,"1207 s jackson st, ste. 109, south seattle, washington 98144 South seattle WA 98144","(47.5989017, -122.3166262)"
249,"4502 s union ave, tacoma, washington 98409 Tacoma WA 98409","(47.216633383838385, -122.48350596969698)"
250,"n/a, vancouver, wa 98663 Vancouver WA 98663","(45.6306954, -122.6744557)"
251,"delivery only, vancouver, wa 98663 Vancouver WA 98663","(45.64523517864489, -122.66484724255224)"
252,"deliveries only, vancouver, wa 98660 Vancouver WA 98660","(45.632738041070986, -122.6779446635986)"
253,"1730 newport way nw, issaquah, wa 98027 Issaquah WA 98027","(47.5308195, -122.0416235)"
254,"10532 greenwood ave north, seattle, wa 98133 Seattle WA 98133","(47.7060743, -122.3551407)"
255,"121 legion way sw, olympia, wa 98501 Olympia WA 98501","(47.04312191836735, -122.90178006122449)"
256,"117 legion way sw, olympia, wa 98501 Olympia WA 98501","(47.043124734693876, -122.90174344897959)"
257,"21127 state route 9 se, woodinville, wa 98072 Woodinville WA 98072","(47.749414553262426, -122.14058721992338)"
258,"none, pullman, wa 99163 Pullman WA 99163","(46.74695056257446, -117.18428184232538)"
259,"delivery only, pullman, wa 99163 Pullman WA 99163","(46.74695056257446, -117.18428184232538)"
260,"delivery only, spokane, wa 99201 Spokane WA 99201","(47.66154962443755, -117.4295410992644)"
261,"delivery only, lynnwood, wa 98087 Lynnwood WA 98087","(47.85635150255282, -122.27080225830082)"
