scrape,wmsite,dateaccess,dispensaryname,address,city,zipcode
101,"http://weedmaps.com/deliveries/sherman-s-blend-and-cannabis-delivery-2-2","2015-11-22","Sherman's Blend and Cannabis Delivery","DELIVERY ONLY, Seattle, WA 98112","Seattle","98112"
101,"http://weedmaps.com/deliveries/simple-confidential-ideal-medical-spokane","2015-11-22","Simple Confidential Ideal Medical","Deliveries Only, Spokane, WA 99208","Spokane","99208"
127,"http://weedmaps.com/deliveries/simple-confidential-ideal-medical-spokane","2016-05-22","Simple Confidential Ideal Medical","DELIVERY ONLY, Spokane, WA 99208","Spokane","99208"
101,"http://weedmaps.com/deliveries/supreme-green-delivery","2015-11-22","Supreme Green Delivery","None, renton, wa 98057","renton","98057"
127,"http://weedmaps.com/deliveries/supreme-green-delivery","2016-05-23","Supreme Green Delivery","DELIVERY ONLY, Seattle, wa 98102","Seattle","98102"
101,"http://weedmaps.com/deliveries/supreme-green-delivery-2","2015-11-21","Supreme Green Delivery","None, Seattle, WA 98101","Seattle","98101"
127,"http://weedmaps.com/deliveries/supreme-green-delivery-2","2016-05-22","Supreme Green Delivery","DELIVERY ONLY, Vancouver, WA 98661","Vancouver","98661"
101,"http://weedmaps.com/deliveries/supreme-green-delivery-2-2","2015-11-22","Supreme Green Delivery","None, West Seattle, WA 98116","West Seattle","98116"
101,"http://weedmaps.com/deliveries/the-chubby-pug","2015-11-22","The Chubby Pug","1xx1 Walnut street, Everett, WA 98201","Everett","98201"
101,"http://weedmaps.com/deliveries/the-green-cross-2","2015-11-22","The Green Cross, Washington Dispensary","DELIVERIES ONLY, Vancouver, Washington 98642","Vancouver","98642"
127,"http://weedmaps.com/deliveries/the-green-cross-2","2016-05-22","The Green Cross - Washington Dispensary","DELIVERY ONLY, Portland, Wa 98662","Portland","98662"
101,"http://weedmaps.com/deliveries/the-healthy-choice","2015-11-22","The Healthy Choice","None, North Tacoma, Wa 98409","North Tacoma","98409"
101,"http://weedmaps.com/deliveries/the-healthy-choice-2","2015-11-22","The Healthy Choice","None, South Tacoma, Wa 98409","South Tacoma","98409"
101,"http://weedmaps.com/deliveries/the-p-patch","2015-11-21","The P Patch - Olympic Peninsula ","DELIVERIES ONLY, Sequim, WA 98382","Sequim","98382"
101,"http://weedmaps.com/deliveries/tjs-organic-gardens","2015-11-22","TJs Organic Gardens ","n/a, Vancouver, Wa 98663","Vancouver","98663"
127,"http://weedmaps.com/deliveries/tjs-organic-gardens","2016-05-23","TJs Organic Gardens ","DELIVERY ONLY, Vancouver, Wa 98663","Vancouver","98663"
